id,region,municipality,settlement,type,oktmo
89,Рязанская область,Клепиковский район,Первушкино,д,61610451141
332,Рязанская область,Кораблинский район,Молвина Слобода,с,61612456101
342,Рязанская область,Пителинский район,Новый Ункор,с,61623425116
393,Рязанская область,Путятинский район,Сергиевка,д,61626412166
397,Рязанская область,Ряжский район,Подвислово,с,61630460106
462,Рязанская область,Скопинский район,Покровский,п,61644488146
505,Рязанская область,Сараевский район,Глебовка,д,61640472111
508,Рязанская область,Михайловский район,Феняево,д,61617418226
571,Рязанская область,Сасовский район,Сотницыно,п,61642470101
596,Рязанская область,Пителинский район,Высокое,с,61623425121
622,Рязанская область,Старожиловский район,Ласково,д,61648435111
650,Рязанская область,Старожиловский район,Кареево,д,61648151216
796,Рязанская область,Рязанский район,Новинское,с,61634475161
974,Рязанская область,Кораблинский район,Ухорь,с,61612448116
990,Рязанская область,Ряжский район,Лупиловка,п,61630460141
1051,Рязанская область,Шацкий район,Болушево,д,61656421131
1082,Рязанская область,Захаровский район,Городецкие Выселки,д,61604425146
1110,Рязанская область,Чучковский район,Ольховка 2,п,61653420171
1114,Рязанская область,Шиловский район,Федосеево-Пустынь,с,61658472106
1207,Рязанская область,Сараевский район,Назарьево,с,61640424116
1412,Рязанская область,Сапожковский район,Васильевка,д,61637405136
1452,Рязанская область,Александро-Невский район,Полиловка,д,61620450146
1469,Рязанская область,Чучковский район,Чучково,рп,61653151051
1589,Рязанская область,Шиловский район,Дебры,д,61658448156
1622,Рязанская область,Кораблинский район,Щелево,д,61612484131
1698,Рязанская область,Михайловский район,Федоровка,д,61617418221
1707,Рязанская область,Шиловский район,Крутицы,с,61658430106
1717,Рязанская область,Рязанский район,Рождество-Лесное,д,61634485166
1787,Рязанская область,Захаровский район,Шляхино,д,61604412111
1853,Рязанская область,Захаровский район,Старое Зимино,с,61604465111
1856,Рязанская область,Ряжский район,Телешовка,д,61630405181
1901,Рязанская область,Клепиковский район,Кузьмино,д,61610403206
2013,Рязанская область,Рыбновский район,Пощупово,с,61627456101
2031,Рязанская область,Александро-Невский район,Зелено-Дмитриевка,д,61620460146
2075,Рязанская область,Ухоловский район,Марцинане,п,61650455146
2143,Рязанская область,Клепиковский район,Воронцово,п,61610475156
2163,Рязанская область,Старожиловский район,Панинская Слобода,д,61648151151
2171,Рязанская область,Шацкий район,Липяной Дюк,д,61656454201
2240,Рязанская область,Путятинский район,Отрада,с,61626406106
2410,Рязанская область,Пителинский район,Потапьево,с,61623450101
2456,Рязанская область,Чучковский район,Азарновка,п,61653420131
2486,Рязанская область,Шацкий район,Шарик,с,61656433106
2501,Рязанская область,Шиловский район,Пролетарский,п,61658445136
2572,Рязанская область,Кораблинский район,Муратовка,д,61612408131
2589,Рязанская область,Касимовский район,Ларино,д,61608442116
2721,Рязанская область,Милославский район,Сухорожня,д,61615428166
2740,Рязанская область,Захаровский район,Безлычное,д,61604412101
2817,Рязанская область,Пронский район,Гремучий,п,61625450106
2827,Рязанская область,Путятинский район,Красное Ширино,п,61626436121
2932,Рязанская область,Александро-Невский район,Рождественское,с,61620450131
2959,Рязанская область,Клепиковский район,Борисково,д,61610448191
2989,Рязанская область,Путятинский район,Ключи,д,61626424181
3056,Рязанская область,Клепиковский район,Котово,д,61610421121
3061,Рязанская область,Скопинский район,Велемья,д,61644445136
3077,Рязанская область,Касимовский район,Щербатовка,с,61608456131
3160,Рязанская область,Ряжский район,Александровка,с,61630420111
3183,Рязанская область,Скопинский район,Ново-Александрово,с,61644415106
3222,Рязанская область,Чучковский район,Пертово,с,61653440101
3315,Рязанская область,Ряжский район,Марчуковские Выселки,п,61630405201
3427,Рязанская область,Кадомский район,Свободный,п,61606405161
3453,Рязанская область,Шиловский район,Алехово,с,61658157146
3693,Рязанская область,Ухоловский район,Чуриловка,с,61650455116
3731,Рязанская область,Клепиковский район,Ершово,с,61610451196
3785,Рязанская область,Скопинский район,Ильинка,с,61644430101
3916,Рязанская область,Скопинский район,Высокое,с,61644430106
3918,Рязанская область,Михайловский район,Волосовка,д,61617418121
4052,Рязанская область,Милославский район,Пролетарский,п,61615444121
4091,Рязанская область,Шацкий район,Ваша,д,61656493116
4096,Рязанская область,Милославский район,Бухвостово,д,61615422161
4177,Рязанская область,Пителинский район,Мокрая Хохловка,д,61623425146
4198,Рязанская область,Сасовский район,Русановка,д,61642418126
4257,Рязанская область,Спасский район,Романовка,д,61646452146
4278,Рязанская область,Шиловский район,Погари,д,61658445156
4345,Рязанская область,Кадомский район,Еромчино,д,61606410136
4348,Рязанская область,Рыбновский район,Демидово,д,61627464111
